"Date","Aluminium Price","Copper Price","BADI -2","MJP","USD Index","AL Prod (Global)","AL Cons (Global)","Aluminium stocks","Alumina Index","Oil Prices"
"2018-01-01","2209.7272727273","7065.8522727273","1453.8636363636","103.0","90.7567272727","5388.445022","5329.5504582383","13265.6711301428","387.6933333333","69.0"
"2018-02-01","2181.7875","7006.525","1618.6875","103.0","89.6956","4888.14506","4744.3880684468","13409.4281216959","367.1433333333","66.0"
"2018-03-01","2069.2380952381","6799.1785714286","1242.0","103.0","89.8772727273","5429.71405","5390.0142163507","13449.1279553453","392.59","67.0"
"2018-04-01","2254.6875","6851.5125","1124.6","129.0","90.293047619","5259.332249","5563.7060121021","13144.7541922432","573.9833333333","72.0"
"2018-05-01","2299.6666666667","6825.2738095238","1154.2380952381","129.0","93.3363043478","5432.099697","5868.8521739584","12708.0017152848","545.2733333333","77.0"
"2018-06-01","2237.619047619","6965.8571428571","1128.9","129.0","94.3711904762","5275.863929","5755.5831903803","12228.2824539044","451.2133333333","76.0"
"2018-07-01","2082.2386363636","6250.75","1293.0952380952","132.0","94.6095909091","5454.586622","5676.3232687345","12006.54580717","483.6966666667","75.0"
"2018-08-01","2051.5113636364","6051.0454545455","1351.619047619","132.0","95.4804782609","5462.052169","5474.5771646939","11994.0208114761","555.08","74.0"
"2018-09-01","2026.4625","6050.7625","1649.7727272727","132.0","94.7567","5281.299855","5397.9136694791","11877.406996997","567.6766666667","79.0"
"2018-10-01","2029.8586956522","6219.5869565217","1710.4090909091","103.0","95.8510869565","5431.18805","5551.2277191281","11757.3673278689","500.3366666667","81.0"
"2018-11-01","1938.5113636364","6195.9204545455","1447.35","103.0","96.7604090909","5254.348955","5279.9161408042","11731.8001420647","418.4066666667","66.0"
"2018-12-01","1920.3815789474","6075.3157894737","1544.6956521739","103.0","96.8685714286","5393.479834","5181.374488683","11943.9054873818","411.33","58.0"
"2019-01-01","1853.7159090909","5939.1022727273","1192.0","85.0","95.9662608696","5375.793695","5276.8722835068","12042.826898875","382.525","60.0"
"2019-02-01","1862.9875","6300.4875","1335.125","84.0","96.4763","4848.172263","4637.1344765976","12253.8646852774","378.5361666667","64.0"
"2019-03-01","1871.2142857143","6439.4642857143","1063.3181818182","84.0","96.7798571429","5368.988689","5476.6916775672","12146.1616967102","398.7728571429","67.0"
"2019-04-01","1845.425","6438.3625","628.75","105.0","97.3647727273","5223.151118","5585.8865836589","11783.4262310513","383.9653030303","72.0"
"2019-05-01","1781.2619047619","6017.9047619048","680.4285714286","105.0","97.7337826087","5384.517817","5909.6626623133","11258.281385738","358.8288405797","70.0"
"2019-06-01","1755.95","5882.225","773.25","105.0","96.799","5220.607145","5620.799426402","10858.089104336","341.0111666667","63.0"
"2019-07-01","1796.9891304348","5941.1956521739","1035.6666666667","108.0","97.3414782609","5382.903355","5559.7001225774","10681.2923367585","306.8005797101","64.0"
"2019-08-01","1740.6785714286","5709.4404761905","1174.4","108.0","98.0030909091","5382.877821","5409.5273107629","10654.6428469957","298.5525757576","60.0"
"2019-09-01","1753.5119047619","5759.25","1869.7391304348","108.0","98.6095714286","5157.196212","5273.7620427258","10538.0770162698","294.406031746","62.0"
"2019-10-01","1725.9565217391","5757.297826087","1981.8571428571","97.0","98.1709130435","5329.506806","5478.8248172208","10388.7590050491","281.7434782609","60.0"
"2019-11-01","1774.7857142857","5859.9523809524","2254.7142857143","97.0","98.0787619048","5173.830997","5208.8883021235","10353.7016999256","279.548015873","63.0"
"2019-12-01","1771.38","6077.0625","1825.8695652174","97.0","97.3778636364","5388.472971","5141.5723999642","10600.6022709614","279.0418333333","65.0"
"2020-01-01","1773.0909090909","6031.2090909091","1419.2857142857","83.0","97.3995217391","5397.229346","5089.4976579619","10908.3339589995","276.9821818182","64.0"
"2020-02-01","1688.095","5687.75","1380.7058823529","83.0","98.86365","5062.91833","4007.001369783","11964.2509192165","288.6421666667","55.0"
"2020-03-01","1610.8909090909","5182.6318181818","701.0909090909","83.0","98.8432272727","5404.033562","4825.8566047733","12542.4278764431","289.1729545455","34.0"
"2020-04-01","1459.9345","5057.972","460.6","82.0","99.8895909091","5196.403247","5146.8008341705","12592.0302892726","230.697","27.0"
"2020-05-01","1466.3715789474","5239.8263157895","601.0909090909","82.0","99.5818095238","5368.854345","5304.7144966039","12656.1701376687","243.0849603175","32.0"
"2020-06-01","1568.5704545455","5754.5954545455","663.9","79.0","97.0833636364","5239.64321","5259.8302538674","12635.9830938013","255.1278030303","41.0"
"2020-07-01","1643.812173913","6372.4608695652","489.1052631579","82.0","95.5832173913","5452.586164","5422.9062775393","12665.662980262","273.1338550725","43.0"
"2020-08-01","1737.258","6498.9375","1146.4545454545","82.0","93.047","5488.736733","5422.6843485837","12731.7153646783","274.7541666667","45.0"
"2020-09-01","1743.7745454545","6704.9","1632.8260869565","82.0","93.4103181818","5353.962924","5471.9262236902","12613.7520649881","273.3065151515","42.0"
"2020-10-01","1806.1018181818","6713.8113636364","1515.65","88.0","93.3985909091","5593.416038","5652.8174513503","12554.3506516378","271.0942745098","42.0"
"2020-11-01","1935.2833333333","7068.9071428571","1410.7727272727","88.0","91.87","5458.076934","5648.0168591873","12364.4107264505","276.9073333333","44.0"
"2020-12-01","2014.6719047619","7772.2380952381","1630.7727272727","88.0","89.94","5679.552724","5610.4695253672","12433.4939250834","296.6956521739","50.0"
"2021-01-01","2003.9755","7972.1475","1180.380952381","130.0","90.58","5751.194078","5774.0813667268","12410.6066363566","304.6333333333","55.0"
"2021-02-01","2078.5935","8470.94","1243.6666666667","130.0","90.88","5220.545084","4945.5979052088","12685.5538151478","301.8053333333","62.0"
"2021-03-01","2190.4826086957","8988.247826087","1657.5","130.0","93.23","5788.809146","5770.4990461632","12703.8639149846","315.0","66.0"
"2021-04-01","2319.3925","9324.8175","1499.6","148.5","91.28","5601.667066","5958.7608745437","12346.7701064409","271.85","65.0"
"2021-05-01","2433.5273684211","10161.9710526316","2017.6086956522","148.5","90.03","5771.764502","6017.0257270705","12101.5088813704","274.87","68.0"
"2021-06-01","2446.6454545455","9631.5","2475.05","148.5","92.44","5572.678815","5915.4918698152","11758.6958265553","283.2","73.0"
"2021-07-01","2497.6354545455","9450.8204545455","2965.2631578947","185.0","92.17","5703.814713","5755.5147186022","11706.9958209531","289.41","74.0"
"2021-08-01","2602.9919047619","9370.1385714286","2932.0","185.0","92.63","5655.462938","5751.7591990303","11610.6995599228","302.24","71.0"
"2021-09-01","2840.8","9413.3233333333","3187.9545454545","185.0","94.23","5525.395086","5633.86898842","11502.2256575028","370.0","75.0"
"2021-10-01","2955.17","9863.93","3720.0","220.0","94.12","5693.097377","5717.49829634","11477.8247381628","478.3933333333","84.0"
"2021-11-01","2641.41","9728.9045454545","4287.0","220.0","95.99","5509.252645","5824.30238245","11162.7750007128","406.8013636364","81.0"
"2021-12-01","2687.73","9551.18","4800.85","220.0","95.97","5696.075035","5900.29898035","10958.5510553628","355.2113043478","75.0"
"2022-01-01","3003.08","9782.3375","2780.4545454545","177.0","96.54","5648.581341","5897.78523625","10709.3471601128","351.3104761905","86.0"
"2022-02-01","3260.83","9943.175","2832.1111111111","177.0","96.71","5106.030072","4991.7105832","10823.6666489128","403.2235","94.0"
"2022-03-01","3537.85","10230.8939130435","1760.8","177.0","98.31","5653.950677","5678.2159898149","10799.4013360979","503.4278947368","112.46"
"2022-04-01","3256.58","10161.0","1834.9","172.0","102.96","5681.032235","5667.02572557","10813.4078455279","392.25","105.91"
"2022-05-01","2826.35","9377.0","2464.0869565217","172.0","101.75","5909.014688","5759.78466838","10962.6378651479","362.1","111.95"
"2022-06-01","2562.93","9575.0","2220.0","172.0","104.68","5752.346565","5668.18960605","11046.7948240979","357.6","120.7"
"2022-07-01","2401.57","7544.0","2943.0","148.0","105.9","5945.913656","5914.37398819","11078.3344919079","337.7004761905","104.3028571429"
"2022-08-01","2432.5","7982.0","2389.45","148.0","108.8","5941.757469","5862.10440942","11157.9875514879","328.9995652174","97.7408695652"
"2022-09-01","2229.1","7746.0113636364","2076.95","148.0","112.12","5711.646117","5788.94791052","11080.6857579679","343.1677272727","90.5709090909"
"2022-10-01","2243.29","7651.0828571429","1411.0","99.0","111.53","5831.012049","5833.700346","11077.9974609679","317.6566666667","93.5938095238"
"2022-11-01","2335.27","8049.8590909091","1487.0","99.0","105.9","5640.136285","5891.54224262","10826.5915033479","310.3681818182","90.8518181818"
"2022-12-01","2394.83","8375.4005","1813.0","99.0","103.52","5851.246096","5619.75400619","11058.0835931579","322.9827272727","81.0"
"2023-01-01","2489.02","9037.9457142857","1298.0","85.5","102.1","5837.558226","5335.76832947","11559.8734896879","348.0818181818","83.9066666667"
"2023-02-01","2417.28","8936.587","1453.0","85.5","104.95","5266.179838","4685.08784935","12140.9654783379","367.0235","83.5375"
"2023-03-01","2290.11","8856.3108695652","908.8095238095","85.5","102.51","5823.365128","5908.49452897","12055.8360773679","365.5139130435","79.2069565217"
"2023-04-01","2341.0","8809.425","658.35","127.5","101.66","5685.719472","5859.93018233","11881.6253670379","356.543","83.3689473684"
"2023-05-01","2267.6","8217.467","1410.0434782609","127.5","104.33","5906.541852","6184.31421017","11603.8530088679","343.7330434783","75.6947826087"
"2023-06-01","2181.07","8396.5177272727","1480.3333333333","127.5","102.91","5753.535177","5861.48965549","11495.8985303779","334.3522727273","74.9786363636"
"2023-07-01","2152.38","8476.679047619","1416.05","127.5","101.86","6028.955943","6005.82160037","11519.0328730079","326.190952381","80.16"
"2023-08-01","2134.16","8349.1272727273","1081.7727272727","127.5","103.62","6106.090874","6104.20624529","11520.9175017179","342.4191304348","85.1043478261"
"2023-09-01","2177.5","8276.7138095238","1040.1904761905","127.5","106.22","5922.02481","6004.59961089","11438.3427008279","341.0919047619","92.5871428571"
"2023-10-01","2192.45","7941.0","1149.8636363636","97.0","106.66","6142.184699","5996.88686249","11583.6405373379","337.3","85.02"
"2023-11-01","2202.23","8189.0","1393.4285714286","97.0","103.5","5904.391","6010.03864486","11477.9928924779","329.0","80.86"
"2023-12-01","2174.29","8399.0","1867.6818181818","97.0","101.3","6050.500727","5833.57469933","11694.9189201479","332.45","77.04"
"2024-01-01","2194.18","8346.0","1831.0","90.0","103.27","6001.252125","5824.98629679","11871.1847483579","366.13","80.55"
